qid,accused_problem,country-focus,binary_or_statement,fact_or_opinion,answer_cn_length,answer_eng_cn_trans_length,answer_eng_length,answer_cn_eng_trans_length,answer_cn_length_diff,answer_eng_length_diff,answer_cn_sent_CN_classifier,answer_eng_sent_CN_classifier,answer_cn_sent_num_CN_classifier,answer_eng_sent_num_CN_classifier,answer_sent_cn_eng_diff_CN_classifier,consist_EN_classifier,consist_EN_classifier_num,consist_CN_classifier,consist_CN_classifier_num,answer_cn_sent_num_EN_classifier,answer_eng_sent_num_EN_classifier,answer_sent_cn_eng_diff_EN_classifier
85,0,None,statement,fact,18,6,14,30,12,16,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
86,0,None,statement,fact,5,15,60,17,-10,-43,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
87,0,None,statement,fact,4,10,39,10,-6,-29,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
88,0,None,yesno,fact,114,139,427,371,-25,-56,NA,NA,NA,NA,NA,consistent,1,inconsistent,0,NA,NA,NA
89,0,None,yesno,fact,39,57,225,117,-18,-108,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
90,0,None,yesno,fact,31,53,222,98,-22,-124,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
91,0,None,yesno,fact,91,63,259,282,28,23,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
92,0,None,yesno,fact,98,70,248,347,28,99,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
93,0,None,yesno,fact,101,39,145,339,62,194,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
94,0,None,yesno,fact,60,57,180,200,3,20,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
95,0,None,yesno,fact,60,31,139,234,29,95,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
96,0,None,yesno,fact,128,123,297,360,5,63,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
97,0,None,yesno,fact,81,90,310,293,-9,-17,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
98,0,None,yesno,fact,56,47,175,190,9,15,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
99,0,None,yesno,fact,95,100,268,319,-5,51,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
100,0,None,yesno,fact,86,77,252,310,9,58,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
101,0,None,yesno,fact,14,14,36,32,0,-4,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
102,0,None,yesno,fact,90,92,292,284,-2,-8,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
103,0,None,yesno,fact,24,51,217,97,-27,-120,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
104,0,None,yesno,fact,80,43,156,264,37,108,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
105,0,None,yesno,fact,129,126,416,423,3,7,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
106,0,None,yesno,fact,37,38,129,114,-1,-15,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
107,0,None,yesno,fact,122,39,139,416,83,277,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
108,0,None,yesno,fact,77,67,250,304,10,54,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
109,0,None,yesno,fact,82,100,341,245,-18,-96,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
110,0,None,yesno,fact,107,65,165,277,42,112,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
111,0,None,yesno,fact,133,72,249,412,61,163,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
112,0,None,yesno,fact,50,25,88,175,25,87,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
113,0,None,yesno,fact,22,11,48,66,11,18,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
114,0,None,yesno,fact,59,18,57,185,41,128,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
115,0,None,yesno,fact,17,19,49,38,-2,-11,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
116,0,None,yesno,fact,16,16,56,56,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
117,0,None,yesno,fact,144,161,509,480,-17,-29,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
118,0,None,yesno,fact,103,61,231,343,42,112,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
119,0,None,yesno,fact,185,25,56,603,160,547,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
120,0,None,yesno,fact,73,76,283,244,-3,-39,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
121,0,None,yesno,fact,30,77,211,102,-47,-109,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
122,0,None,yesno,fact,68,92,289,212,-24,-77,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
123,0,None,yesno,fact,119,88,308,422,31,114,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
124,0,None,yesno,fact,63,14,61,278,49,217,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
125,0,None,yesno,fact,114,72,227,419,42,192,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
126,0,None,yesno,fact,102,92,304,352,10,48,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
127,0,None,yesno,fact,42,61,231,152,-19,-79,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
128,0,None,yesno,fact,18,33,100,49,-15,-51,NA,NA,NA,NA,NA,inconsistent,0,consistent,1,NA,NA,NA
129,0,None,yesno,fact,19,33,141,42,-14,-99,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
130,0,None,yesno,fact,76,49,171,231,27,60,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
131,0,None,yesno,fact,81,72,252,243,9,-9,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
132,0,None,yesno,fact,86,69,224,245,17,21,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
133,0,None,yesno,fact,104,88,249,357,16,108,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
134,0,None,yesno,fact,16,15,50,50,1,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
135,0,None,yesno,fact,15,28,93,41,-13,-52,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
136,0,None,yesno,fact,15,29,88,45,-14,-43,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
137,0,None,yesno,fact,40,55,173,154,-15,-19,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
138,0,None,yesno,fact,54,25,71,140,29,69,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
139,0,None,yesno,fact,107,49,145,351,58,206,NA,NA,NA,NA,NA,consistent,1,inconsistent,0,NA,NA,NA
140,0,None,yesno,fact,26,18,66,93,8,27,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
141,0,None,yesno,fact,47,121,393,144,-74,-249,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
142,0,None,yesno,fact,87,119,399,326,-32,-73,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
143,0,None,yesno,fact,73,71,272,241,2,-31,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
144,0,None,yesno,fact,80,73,270,282,7,12,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
145,0,None,yesno,fact,26,27,77,81,-1,4,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
146,0,None,yesno,fact,16,15,54,54,1,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
147,0,None,yesno,fact,55,106,378,184,-51,-194,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
148,0,None,yesno,fact,18,18,56,56,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
149,0,None,yesno,fact,59,44,143,205,15,62,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
150,0,None,yesno,fact,29,30,104,94,-1,-10,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
151,0,None,yesno,fact,120,72,360,454,48,94,NA,NA,NA,NA,NA,inconsistent,0,consistent,1,NA,NA,NA
152,0,None,yesno,fact,146,114,380,464,32,84,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
153,0,None,yesno,fact,55,80,281,168,-25,-113,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
154,0,None,yesno,fact,62,76,258,223,-14,-35,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
155,0,None,yesno,fact,119,20,84,418,99,334,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
156,0,None,yesno,fact,37,34,143,139,3,-4,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
157,0,None,yesno,fact,35,70,226,121,-35,-105,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
158,0,None,yesno,fact,54,51,184,185,3,1,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
159,0,None,yesno,fact,14,14,52,47,0,-5,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
160,0,None,yesno,fact,33,30,101,118,3,17,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
161,0,None,yesno,fact,40,40,141,136,0,-5,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
162,0,None,yesno,fact,59,52,204,204,7,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
163,0,None,yesno,fact,11,11,45,45,0,0,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
164,0,None,yesno,fact,89,56,181,285,33,104,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
165,0,None,yesno,fact,162,85,211,452,77,241,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
166,0,None,yesno,fact,80,64,237,279,16,42,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
167,0,None,yesno,fact,65,142,385,151,-77,-234,NA,NA,NA,NA,NA,inconsistent,0,inconsistent,0,NA,NA,NA
168,0,None,yesno,fact,192,143,503,625,49,122,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
169,0,None,yesno,fact,57,54,179,198,3,19,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
170,0,None,yesno,fact,50,53,151,166,-3,15,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
171,0,None,yesno,fact,99,44,161,327,55,166,NA,NA,NA,NA,NA,consistent,1,inconsistent,0,NA,NA,NA
172,0,None,yesno,fact,93,38,117,300,55,183,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
173,0,None,yesno,fact,93,147,483,246,-54,-237,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
174,0,None,yesno,fact,134,104,350,411,30,61,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
175,0,None,yesno,fact,105,114,380,347,-9,-33,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
176,0,None,yesno,fact,116,98,335,377,18,42,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
177,0,None,yesno,fact,103,86,280,361,17,81,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
178,0,None,yesno,fact,45,54,179,152,-9,-27,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
179,0,None,yesno,fact,165,85,311,527,80,216,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
180,0,None,yesno,fact,55,68,249,221,-13,-28,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
181,0,None,yesno,fact,100,62,148,310,38,162,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
182,0,None,yesno,fact,18,57,225,74,-39,-151,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
183,0,None,yesno,fact,64,68,245,215,-4,-30,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
184,0,None,yesno,fact,70,29,75,181,41,106,NA,NA,NA,NA,NA,consistent,1,consistent,1,NA,NA,NA
185,1,CN,yesno,fact,233,142,523,847,91,324,neutral,negative,0,-1,1,consistent,1,consistent,1,-1,-1,0
186,1,CN,yesno,fact,271,133,478,1089,138,611,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
187,1,CN,yesno,opinion,228,135,498,870,93,372,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
188,1,CN,yesno,opinion,170,146,553,599,24,46,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
189,1,CN,yesno,opinion,243,280,1077,936,-37,-141,positive,neutral,1,0,1,consistent,1,consistent,1,1,0,1
190,1,CN,yesno,opinion,268,246,878,1029,22,151,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
191,1,CN,yesno,opinion,258,303,1032,970,-45,-62,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
192,1,CN,yesno,opinion,276,275,1000,1109,1,109,neutral,neutral,0,0,0,consistent,1,inconsistent,0,0,0,0
193,1,CN,yesno,fact,134,123,427,458,11,31,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
194,1,CN,statement,fact,33,90,277,125,-57,-152,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
195,1,CN,yesno,opinion,155,133,418,507,22,89,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
196,1,CN,yesno,opinion,235,160,556,897,75,341,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
197,1,CN,yesno,fact,135,155,562,460,-20,-102,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
198,1,CN,statement,fact,92,108,421,329,-16,-92,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
199,1,CN,yesno,opinion,277,166,633,987,111,354,neutral,negative,0,-1,1,consistent,1,consistent,1,0,0,0
200,1,CN,yesno,opinion,217,116,396,762,101,366,neutral,negative,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
201,1,CN,yesno,fact,187,99,423,724,88,301,neutral,negative,0,-1,1,inconsistent,0,consistent,1,0,-1,1
202,1,CN,yesno,fact,117,122,425,439,-5,14,positive,neutral,1,0,1,consistent,1,inconsistent,0,1,0,1
203,1,CN,yesno,fact,134,144,572,453,-10,-119,positive,negative,1,-1,2,inconsistent,0,consistent,1,1,-1,2
204,1,CN,yesno,fact,171,130,469,660,41,191,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
205,1,CN,yesno,fact,102,103,385,353,-1,-32,negative,negative,-1,-1,0,inconsistent,0,consistent,1,0,-1,1
206,1,CN,yesno,fact,149,153,590,575,-4,-15,neutral,negative,0,-1,1,inconsistent,0,inconsistent,0,0,-1,1
207,1,CN,statement,fact,159,85,270,602,74,332,negative,neutral,-1,0,-1,consistent,1,consistent,1,-1,0,-1
208,1,CN,yesno,fact,235,191,761,891,44,130,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
209,1,CN,yesno,opinion,151,122,516,601,29,85,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
210,1,CN,yesno,opinion,124,148,581,520,-24,-61,negative,negative,-1,-1,0,consistent,1,consistent,1,-1,-1,0
211,1,CN,yesno,fact,252,157,632,1038,95,406,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
212,1,CN,yesno,fact,242,164,664,866,78,202,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
213,1,CN,yesno,opinion,242,194,695,967,48,272,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
214,1,CN,yesno,opinion,216,125,481,818,91,337,negative,negative,-1,-1,0,consistent,1,consistent,1,0,-1,1
215,1,CN,yesno,opinion,218,146,579,839,72,260,neutral,negative,0,-1,1,consistent,1,consistent,1,0,-1,1
216,1,CN,yesno,opinion,103,125,510,385,-22,-125,neutral,neutral,0,0,0,consistent,1,consistent,1,0,0,0
217,1,CN,yesno,fact,52,121,425,195,-69,-230,positive,negative,1,-1,2,inconsistent,0,inconsistent,0,1,-1,2
218,1,CN,yesno,fact,31,61,234,120,-30,-114,positive,neutral,1,0,1,inconsistent,0,inconsistent,0,0,0,0
