qid,country-focus,accused_problem,binary_or_statement,fact_or_opinion,yesno_cn_handcode,yesno_eng_handcode,answer_cn_length,answer_eng_to_cn_length,answer_eng_length,answer_cn_to_eng_length,answer_cn_length_diff,answer_eng_length_diff,yesno_cn_handcode_recode,yesno_eng_handcode_recode,is_consistent,answer_diff,answer_cn_sent,answer_eng_sent,consist_handcode_binary,topic_focus,consist_handcode_binary_num,answer_cn_sent_num_CN_classifier,answer_eng_sent_num_CN_classifier,answer_sent_cn_eng_diff_CN_classifier,consist_EN_classifier,consist_EN_classifier_num,consist_CN_classifier,consist_CN_classifier_num,answer_cn_sent_num_EN_classifier,answer_eng_sent_num_EN_classifier,answer_sent_cn_eng_diff_EN_classifier
18,NA,0,statement,fact,NA,NA,22,20,65,67,2,2,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
19,NA,0,statement,fact,NA,NA,71,98,269,268,-27,-1,NA,NA,consistent,0,positive,positive,consistent,Science,1,1,1,0,inconsistent,0,inconsistent,0,NA,NA,NA
20,NA,0,statement,fact,NA,NA,258,273,990,848,-15,-142,NA,NA,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
21,NA,0,statement,fact,NA,NA,16,15,70,59,1,-11,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
22,NA,0,statement,fact,NA,NA,25,79,259,67,-54,-192,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
23,NA,0,statement,fact,NA,NA,194,34,112,298,160,186,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
24,NA,0,statement,fact,NA,NA,94,19,77,322,75,245,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
25,NA,0,statement,fact,NA,NA,20,29,68,46,-9,-22,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
26,NA,0,statement,fact,NA,NA,38,18,79,138,20,59,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
27,NA,0,statement,fact,NA,NA,10,17,64,29,-7,-35,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
28,NA,0,statement,fact,NA,NA,109,21,96,334,88,238,NA,NA,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
29,NA,0,statement,fact,NA,NA,73,15,61,189,58,128,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,inconsistent,0,consistent,1,NA,NA,NA
30,NA,0,statement,fact,NA,NA,22,48,146,64,-26,-82,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
31,NA,0,statement,fact,NA,NA,123,74,237,390,49,153,NA,NA,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
32,NA,0,statement,fact,NA,NA,36,23,120,128,13,8,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
33,NA,0,statement,fact,NA,NA,8,31,110,23,-23,-87,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
34,NA,0,statement,fact,NA,NA,8,30,94,23,-22,-71,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
35,NA,0,statement,fact,NA,NA,16,17,53,31,-1,-22,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
36,NA,0,statement,fact,NA,NA,25,13,38,71,12,33,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
37,NA,0,statement,fact,NA,NA,14,18,96,45,-4,-51,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
38,NA,0,statement,fact,NA,NA,14,18,79,66,-4,-13,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
39,NA,0,statement,fact,NA,NA,15,23,81,68,-8,-13,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
40,NA,0,statement,fact,NA,NA,24,73,169,89,-49,-80,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
41,NA,0,statement,fact,NA,NA,142,16,49,464,126,415,NA,NA,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
42,NA,0,statement,fact,NA,NA,96,101,435,374,-5,-61,NA,NA,somewhat consistent,1,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
43,NA,0,statement,fact,NA,NA,34,45,142,52,-11,-90,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
44,NA,0,statement,fact,NA,NA,28,25,125,113,3,-12,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
45,NA,0,statement,fact,NA,NA,20,18,90,75,2,-15,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
46,NA,0,statement,fact,NA,NA,12,84,277,40,-72,-237,NA,NA,consistent,0,neutral,positive,consistent,Science,1,0,1,-1,consistent,1,consistent,1,NA,NA,NA
47,NA,0,statement,fact,NA,NA,95,63,218,365,32,147,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
48,NA,0,statement,fact,NA,NA,9,67,152,37,-58,-115,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
49,NA,0,statement,fact,NA,NA,34,79,203,75,-45,-128,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
50,NA,0,statement,fact,NA,NA,13,13,50,50,0,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
51,NA,0,statement,fact,NA,NA,12,13,41,41,-1,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
52,NA,0,statement,fact,NA,NA,117,97,354,445,20,91,NA,NA,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
53,NA,0,statement,fact,NA,NA,39,39,100,128,0,28,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
54,NA,0,statement,fact,NA,NA,76,14,50,216,62,166,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
55,NA,0,statement,fact,NA,NA,99,35,105,346,64,241,NA,NA,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
56,NA,0,statement,fact,NA,NA,36,42,142,100,-6,-42,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
57,NA,0,statement,fact,NA,NA,104,78,384,492,26,108,NA,NA,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
58,NA,0,statement,fact,NA,NA,143,15,65,516,128,451,NA,NA,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
59,NA,0,statement,fact,NA,NA,22,21,73,53,1,-20,NA,NA,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
60,NA,0,statement,fact,NA,NA,198,13,33,641,185,608,NA,NA,somewhat consistent,1,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
61,NA,0,statement,fact,NA,NA,12,14,53,49,-2,-4,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
62,NA,0,statement,fact,NA,NA,94,16,58,357,78,299,NA,NA,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
63,NA,0,statement,fact,NA,NA,12,28,89,50,-16,-39,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
64,NA,0,statement,fact,NA,NA,31,30,116,98,1,-18,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
65,NA,0,statement,fact,NA,NA,129,102,323,352,27,29,NA,NA,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
66,NA,0,statement,fact,NA,NA,78,38,162,285,40,123,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
67,NA,0,statement,fact,NA,NA,95,34,138,266,61,128,NA,NA,inconsistent,3,positive,neutral,inconsistent,Science,0,1,0,1,inconsistent,0,inconsistent,0,NA,NA,NA
68,NA,0,statement,fact,NA,NA,76,101,407,205,-25,-202,NA,NA,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
69,NA,0,statement,fact,NA,NA,38,41,101,95,-3,-6,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
70,NA,0,statement,fact,NA,NA,25,23,72,70,2,-2,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
71,NA,0,statement,fact,NA,NA,95,22,72,245,73,173,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
72,NA,0,statement,fact,NA,NA,243,250,970,883,-7,-87,NA,NA,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
73,NA,0,statement,fact,NA,NA,16,16,68,52,0,-16,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
74,NA,0,statement,fact,NA,NA,20,17,62,93,3,31,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
75,NA,0,statement,fact,NA,NA,18,19,77,63,-1,-14,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
76,NA,0,statement,fact,NA,NA,17,80,297,53,-63,-244,NA,NA,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
77,NA,0,statement,fact,NA,NA,14,76,300,47,-62,-253,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
78,NA,0,statement,fact,NA,NA,14,13,52,52,1,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
79,NA,0,statement,fact,NA,NA,13,12,43,43,1,0,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
80,NA,0,statement,fact,NA,NA,18,14,44,57,4,13,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
81,NA,0,statement,fact,NA,NA,15,48,158,42,-33,-116,NA,NA,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
82,NA,0,statement,fact,NA,NA,102,62,186,351,40,165,NA,NA,consistent,0,negative,neutral,consistent,Science,1,-1,0,-1,consistent,1,consistent,1,NA,NA,NA
83,NA,0,statement,fact,NA,NA,131,90,326,484,41,158,NA,NA,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
84,NA,0,statement,fact,NA,NA,82,12,47,361,70,314,NA,NA,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
85,NA,0,statement,fact,NA,NA,42,19,65,135,23,70,NA,NA,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
86,NA,0,statement,fact,NA,NA,16,59,169,48,-43,-121,NA,NA,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
87,NA,0,statement,fact,NA,NA,114,68,294,347,46,53,NA,NA,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
88,NA,0,yesno,fact,no,no,131,123,446,337,8,-109,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
89,NA,0,yesno,fact,yes,yes,87,67,243,296,20,53,5,5,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
90,NA,0,yesno,fact,yes,no,65,52,211,234,13,23,5,1,inconsistent,3,positive,neutral,inconsistent,Science,0,1,0,1,inconsistent,0,inconsistent,0,NA,NA,NA
91,NA,0,yesno,fact,yes,no,94,78,285,307,16,22,5,1,inconsistent,3,positive,neutral,inconsistent,Science,0,1,0,1,inconsistent,0,inconsistent,0,NA,NA,NA
92,NA,0,yesno,fact,probably no,no,70,51,177,250,19,73,2,1,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
93,NA,0,yesno,fact,probably no,no,117,82,309,381,35,72,2,1,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,inconsistent,0,consistent,1,NA,NA,NA
94,NA,0,yesno,fact,no,no,90,129,426,293,-39,-133,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
95,NA,0,yesno,fact,probably yes,probably no,122,79,306,402,43,96,4,2,somewhat inconsistent,2,positive,positive,inconsistent,Science,0,1,1,0,inconsistent,0,inconsistent,0,NA,NA,NA
96,NA,0,yesno,fact,probably yes,probably yes,105,74,193,340,31,147,4,4,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
97,NA,0,yesno,fact,yes,yes,112,80,288,379,32,91,5,5,consistent,0,neutral,positive,consistent,Science,1,0,1,-1,consistent,1,consistent,1,NA,NA,NA
98,NA,0,yesno,fact,yes,yes,109,75,257,419,34,162,5,5,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
99,NA,0,yesno,fact,no,no,131,88,279,418,43,139,1,1,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
100,NA,0,yesno,fact,yes,no,100,97,348,288,3,-60,5,1,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
101,NA,0,yesno,fact,yes,yes,146,13,34,386,133,352,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
102,NA,0,yesno,fact,yes,yes,127,111,387,384,16,-3,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
103,NA,0,yesno,fact,no,no,65,75,303,246,-10,-57,1,1,consistent,0,neutral,positive,consistent,Science,1,0,1,-1,consistent,1,consistent,1,NA,NA,NA
104,NA,0,yesno,fact,no,no,76,83,314,232,-7,-82,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
105,NA,0,yesno,fact,no,no,178,249,873,590,-71,-283,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
106,NA,0,yesno,fact,yes,yes,33,32,118,114,1,-4,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
107,NA,0,yesno,fact,yes,no,114,52,196,337,62,141,5,1,inconsistent,3,positive,neutral,inconsistent,Science,0,1,0,1,inconsistent,0,inconsistent,0,NA,NA,NA
108,NA,0,yesno,fact,yes,no,75,93,352,278,-18,-74,5,1,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
109,NA,0,yesno,fact,no,no,144,130,465,477,14,12,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
110,NA,0,yesno,fact,probably no,no,117,17,46,298,100,252,2,1,somewhat consistent,1,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
111,NA,0,yesno,fact,yes,no,110,96,317,380,14,63,5,1,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
112,NA,0,yesno,fact,yes,yes,49,98,319,159,-49,-160,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
113,NA,0,yesno,fact,no,no,63,103,380,197,-40,-183,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
114,NA,0,yesno,fact,yes,yes,86,77,295,266,9,-29,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
115,NA,0,yesno,fact,no,no,30,30,75,84,0,9,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
116,NA,0,yesno,fact,yes,yes,41,48,160,146,-7,-14,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
117,NA,0,yesno,fact,no,no,121,114,443,496,7,53,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,inconsistent,0,NA,NA,NA
118,NA,0,yesno,fact,not sure,yes,151,136,495,491,15,-4,3,5,somewhat inconsistent,2,neutral,negative,inconsistent,Science,0,0,-1,1,inconsistent,0,inconsistent,0,NA,NA,NA
119,NA,0,yesno,fact,yes,yes,153,65,183,531,88,348,5,5,consistent,0,neutral,positive,consistent,Science,1,0,1,-1,consistent,1,consistent,1,NA,NA,NA
120,NA,0,yesno,fact,yes,no,112,121,465,373,-9,-92,5,1,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
121,NA,0,yesno,fact,no,no,100,52,168,322,48,154,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
122,NA,0,yesno,fact,yes,yes,11,52,159,36,-41,-123,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
123,NA,0,yesno,fact,no,no,123,83,307,454,40,147,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
124,NA,0,yesno,fact,yes,yes,113,14,61,418,99,357,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
125,NA,0,yesno,fact,probably no,probably no,105,66,238,369,39,131,2,2,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
126,NA,0,yesno,fact,yes,no,89,113,357,275,-24,-82,5,1,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
127,NA,0,yesno,fact,yes,no,71,108,322,226,-37,-96,5,1,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
128,NA,0,yesno,fact,yes,no,103,95,267,367,8,100,5,1,inconsistent,3,neutral,neutral,inconsistent,Science,0,0,0,0,inconsistent,0,inconsistent,0,NA,NA,NA
129,NA,0,yesno,fact,no,no,23,20,70,70,3,0,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
130,NA,0,yesno,fact,no,no,99,91,329,293,8,-36,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
131,NA,0,yesno,fact,no,no,94,90,369,318,4,-51,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
132,NA,0,yesno,fact,no,yes,86,92,303,230,-6,-73,1,5,inconsistent,3,neutral,positive,inconsistent,Science,0,0,1,-1,inconsistent,0,inconsistent,0,NA,NA,NA
133,NA,0,yesno,fact,probably no,probably no,160,155,569,479,5,-90,2,2,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
134,NA,0,yesno,fact,no,no,16,15,50,50,1,0,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
135,NA,0,yesno,fact,no,no,26,14,41,81,12,40,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
136,NA,0,yesno,fact,no,no,40,29,88,128,11,40,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
137,NA,0,yesno,fact,yes,yes,26,65,186,76,-39,-110,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
138,NA,0,yesno,fact,yes,yes,89,29,90,142,60,52,5,5,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
139,NA,0,yesno,fact,yes,yes,161,79,237,421,82,184,5,5,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
140,NA,0,yesno,fact,yes,yes,66,19,78,242,47,164,5,5,consistent,0,positive,neutral,consistent,Science,1,1,0,1,consistent,1,consistent,1,NA,NA,NA
141,NA,0,yesno,fact,yes,yes,80,68,216,207,12,-9,5,5,consistent,0,positive,positive,consistent,Science,1,1,1,0,consistent,1,consistent,1,NA,NA,NA
142,NA,0,yesno,fact,no,no,131,105,454,432,26,-22,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
143,NA,0,yesno,fact,no,no,104,25,110,466,79,356,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
144,NA,0,yesno,fact,no,no,67,71,226,219,-4,-7,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
145,NA,0,yesno,fact,no,no,50,66,271,177,-16,-94,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
146,NA,0,yesno,fact,no,no,98,29,108,352,69,244,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
147,NA,0,yesno,fact,no,no,127,86,343,340,41,-3,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
148,NA,0,yesno,fact,no,no,51,21,65,205,30,140,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
149,NA,0,yesno,fact,yes,no,81,43,151,295,38,144,5,1,inconsistent,3,positive,neutral,inconsistent,Science,0,1,0,1,inconsistent,0,inconsistent,0,NA,NA,NA
150,NA,0,yesno,fact,no,no,51,103,334,193,-52,-141,1,1,consistent,0,neutral,neutral,consistent,Science,1,0,0,0,consistent,1,consistent,1,NA,NA,NA
